昵称,性别,时间,点赞,评论,IP属地,二级评论条数,二级评论等级,uid,rpid
hito咪,保密,2024-11-12 11:06:54,0,,广东,190,哈哈哈哈哈哈哈哈哈哈,6,2274772,246625784561
疯四年,保密,2024-11-12 11:13:37,0,,河南,190,好开心，回来了！,4,1254836832,246938287792
mm有话说,保密,2024-11-12 11:15:06,1,,上海,190,我奶奶已经去世了，等up回归时再也没机会看了[大哭],5,1988881302,246938369568
迪烈克斯,男,2024-11-12 11:22:17,2,,广东,190,当年回家，最开心的时光是，饭后门前，和奶奶坐着，手机刷着子柒的视频，与奶奶回忆过往在村里的生活，直到手机没电才停下。,6,4573844,246939055312
我超有自制力,保密,2024-11-12 11:22:38,0,,江西,190,来辣来辣，孙孙好乖[原神_喝茶],5,320437161,246939065248
象咬鞑岸,男,2024-11-12 11:30:10,1,,江苏,190,怎么感觉变老了啊[思考]是我也老了，还是心老了[呆],4,473009851,246627700513
走过忘川丨,女,2024-11-12 11:32:33,0,,安徽,190,终于回来了,5,10058351,246627753441
人行鬼道,保密,2024-11-12 11:40:41,0,,四川,190,好孙孙啊，你奶奶出去抢鸡蛋了，爷爷回来拿个大点的框，多跑几家[胆大党_微笑],6,283027889,246628492785
鱿鱼会武功,保密,2024-11-12 11:42:54,0,,江西,190,还有？上一个看了一半，打算回家慢慢看，现在可以放心看上个视频了,6,360231274,246628548289
huboy,保密,2024-11-12 11:45:46,0,,湖南,190,好的乖孙，爷爷也来了,6,1447395,246628839825
甜妹掉入法海中,女,2024-11-12 12:00:06,0,,广东,190,回归！！！,3,108879170,246629916689
april阿言,保密,2024-11-12 12:10:10,0,,安徽,190,等了一年又一年，子柒终于回来了,3,41139184,246630705329
跳出算法牢笼,保密,2024-11-12 12:11:27,0,,广西,190,有生之年系列[滑稽],5,337038375,246630779953
牛爷爷很累很忙碌,保密,2024-11-12 12:20:05,1,,四川,190,回复 @拍了一张无懈可击 : 我来也，终于等到更新了，希望柒娃拿回商标权,6,344851155,246631553361
爱画画的老兔子,保密,2024-11-12 12:28:14,0,,福建,190,哦，孙女，我。。我染个头发再去看,4,102133652,246632079761
劫WM,男,2024-11-12 12:39:22,0,,广东,190,奶奶竟是你自己[doge],6,304675760,246633042129
十元狸镁,保密,2024-11-12 12:49:14,0,,江西,190,爷爷来啦[打call],6,38099772,246633798961
乱炖土豆鸡块粉条,保密,2024-11-12 12:54:23,0,,陕西,190,给你点到六千~[doge],5,3493114765380164,246634150673
麻辣烫不烫不烫烫,男,2024-11-12 12:56:03,0,,江苏,190,奶奶来啦[OK][OK]（bushi[微笑]）,5,698320813,246946666720
゙゚゙゚゙゚理塘丁真,男,2024-11-12 13:06:14,0,,重庆,190,好乖孙，👵🏻没白疼你😘,5,515526460,246635215713
王德发是只猫,保密,2024-11-12 13:10:04,0,,四川,190,乖胖球,6,130244882,246635464961
雨下-_-整晚,保密,2024-11-12 13:19:05,0,,河南,190,奶奶看到啦，乖孙儿[鸡腿][鸡腿][鸡腿],6,481489809,246948533520
懿疯E,保密,2024-11-12 13:24:41,0,,江苏,190,[给心心],5,316361447,246949019040
Hestia_Guo,保密,2024-11-12 13:26:21,1,,天津,190,喷不了这个真可以等到奶奶,6,12051187,246636766369
儚之,保密,2024-11-12 13:32:53,0,,上海,190,回复 @xxxxSniper :奶奶来了,5,12764556,246637237537
涟漪微凉,保密,2024-11-12 13:33:08,90,,广东,190,回复 @米琪有点霉 :回来了，一切都回来了,5,401208874,246637243169
骂我的被张汉亲一口,女,2024-11-12 13:34:36,0,,江苏,190,嗯，知道了,6,395838265,246637403505
罪韭悲,女,2024-11-12 13:34:46,2,,黑龙江,190,时隔一年拜登年，终于回来了！！[大哭][大哭][大哭][大哭][大哭],6,37373722,246949882832
Umsoobin,女,2024-11-12 13:36:58,0,,中国香港,190,咳咳咳[嗑瓜子],5,483332893,246637576657
谁是人间惊鸿客,保密,2024-11-12 13:38:56,0,,广东,190,回来就好[脸红][大笑],5,233344477,246637767537
跳蚤猫的悲剧,男,2024-11-12 13:40:35,0,,广东,190,你奶奶老的真快,6,10449210,246950310096
渔圻,女,2024-11-12 13:44:33,1,,江西,190,嘴替好   子柒姐姐好[脱单doge],6,36065672,246638216913
泥潴仔,男,2024-11-12 13:45:17,0,,广东,190,@聒碎阿 奶奶快来,6,2905834,246950814352
攀出墙花折临路柳,保密,2024-11-12 13:52:21,0,,重庆,190,乖孙女，奶奶爱你么么哒。,5,450054132,246951330800
从提包拿出我的小口红,保密,2024-11-12 13:54:24,0,,河南,190,我的天呀，还以为看错了，子柒来更新了，太开心了。,5,507440484,246639001713
坚毅的松鼠,保密,2024-11-12 13:59:57,1,,山东,190,李子染是中国民族精神的鲜明代表，勤劳、创造、奋斗、自强不息的精神被体现的淋漓尽致，真正的书中民族精神的鲜明现实代表,5,1359930300,246952110448
喵熏儿,女,2024-11-12 14:01:19,0,,广西,190,边哭边看的真的[大哭][大哭]落泪,6,95402496,246639629601
鉴鉴变白了,保密,2024-11-12 14:25:09,0,,江苏,190,我在看了[doge],5,398314591,246641503537
冷帅锋,男,2024-11-12 14:30:07,1,,天津,190,21岁生日能看到姐姐回归，快哉，快哉！[大笑],6,318931661,246642026721
Whitney-wh,保密,2024-11-12 14:30:48,0,,四川,190,我天嘞！以前在别的up视频下面看别人这样评论都没啥感觉，现在终于能体会到这种心情了[大哭],5,94369472,246954832080
白天在打盹,保密,2024-11-12 14:32:16,0,,安徽,190,我就知道,5,479975594,246642078129
泰裤辣oon,男,2024-11-12 14:39:02,0,,宁夏,190,爷爷来啦！,4,134071117,246955493232
城市稻草人22,保密,2024-11-12 14:39:21,0,,上海,190,终于等到你[蹲蹲],3,535175930,246955555440
种地卖菜吃糖,保密,2024-11-12 14:57:32,0,,四川,190,奶奶好开心呀，我们也好开心，一次性更了两个视频嘿嘿，喜欢多发,5,476562084,246644359825
冫薯片丶,男,2024-11-12 14:57:55,0,,河北,190,知道了，大孙女,5,480282704,246957246176
CCB-柴柴,女,2024-11-12 15:08:55,0,,广东,190,泪目[大哭][大哭][大哭][大哭],5,446372178,246645315585
dagou2015,男,2024-11-12 15:15:08,0,,江苏,190,两连发[支持],6,14328111,246958814832
倌鵀馧鴢,保密,2024-11-12 15:17:26,0,,天津,190,不，这是你爷爷追的up主,6,489559714,246958796320
今天也是周一嗎,女,2024-11-12 15:20:29,0,,中国香港,190,来了来了 奶奶来了[大笑],5,199483585,246646302017
风一扰头发乱了,保密,2024-11-12 15:22:22,0,,北京,190,生完孩子了,6,493967667,246646502625
藍筱槑,保密,2024-11-12 15:24:11,0,,山东,190,有没有可能我是爷爷[doge][doge][doge],6,43076012,246959433680
半颗星星辰,女,2024-11-12 15:28:53,0,,安徽,190,欢迎回来,4,368093345,246960014640
莫晚笙,女,2024-11-12 15:29:22,0,,辽宁,190,谢谢孙女,6,278999647,246960083856
红旗耀眼全球,保密,2024-11-12 15:37:53,0,,广东,190,"[doge_金箍][doge_金箍][doge_金箍]？吗天少多零年少多利胜役战湖津长是天今道知你么那,powered by ikun_framework_v9527@f3jg5dl2",5,375490101,246960618688
地下森林不哭了,保密,2024-11-12 15:40:48,0,,云南,190,@超级大螳螂 @芝麻汤圆振好吃,4,3537112422943361,246648082481
徐长安_,女,2024-11-12 15:43:18,0,,广东,190,奶奶…我有一位奶奶也很喜欢子柒，可惜她已经去世了…,6,20334431,246961140960
尼尔生涯2,保密,2024-11-12 15:54:20,0,,广西,190,奶奶来了,5,435128497,246648957681
君兮念红颜,保密,2024-11-12 16:23:12,0,,广西,190,奶奶常说,5,413232790,246651148865
胡萝卜卜哪去了,女,2024-11-12 16:32:06,0,,山西,190,哈哈哈哈哈哈,5,668390968,246651712337
顾子熙h,保密,2024-11-12 16:36:53,0,,湖南,190,回复 @东方墨玥 :我高中[大哭]还是老师放的，现在也快要找工作了,5,1464642776,246651839489
摘星星的CC,保密,2024-11-12 16:49:44,0,,广东,190,泪目了…..,5,485121794,246652725073
A蘑菇erde,保密,2024-11-12 16:50:45,0,,甘肃,190,看看行业标杆的播放量，看看视频播放量到底下降了多少？（期待一周后的播放量）[星星眼][星星眼][星星眼],6,174895431,246965820880
喵星人灰灰酱,保密,2024-11-12 16:54:27,0,,加拿大,190,哈哈哈哈哈😂,4,1687217913,246966106832
苏格拉底不是猫,保密,2024-11-12 16:54:52,0,,法国,190,曾曾曾祖母，我这就把视频烧给你[大哭],5,52495828,246966117136
喜欢坐着发呆,保密,2024-11-12 16:54:58,0,,广东,190,@Pykdy 我差点以为我看错了！！！,5,418395677,246653040705
跟读小伙子,男,2024-11-12 18:28:56,0,,越南,190,韩立突破元婴指日可待啊。,3,3546686448207922,246969766048
逗逼小紫薯,男,2024-11-12 18:49:23,0,,福建,190,泪目了,6,131708824,246970325088
树上麻花,保密,2024-11-12 22:07:47,0,,河北,190,雨姐寄，而柒归。,5,2137665510,246973143984
使用公筷筷有爱,保密,2024-11-12 23:19:04,0,,浙江,190,"回复 @夏日寒冬丶 :[doge_金箍],四年“口罩”,很多“奶奶”已经,不在“地上”了[脸红],没有人比我更懂那个,——熟悉的感觉回来了[doge_金箍]川普",5,488363313,246974377408
怡宝一桶,保密,2024-11-12 23:23:30,0,,中国香港,190,奶奶来了,4,1550600574,246661139521
亞細亞洲,保密,2024-11-12 23:26:40,0,,辽宁,190,回来了一切都回来了[打call][打call][打call],6,237387562,246661230209
动漫基地4162,保密,2024-11-13 00:54:27,0,,上海,190,诶哟诶，我的好孙子孙女们勒,4,1478188303,246978135264
在魔都哼小调的虚日鼠,男,2024-11-13 01:00:42,0,,上海,190,所以这年头，最好是不要挂什么公司，一步一个大坑,6,241237859,246664821825
我在地球ol当NPC的日子,保密,2024-11-13 01:04:50,0,,四川,190,知道了，孙子,6,444184408,246978532416
蘿太我筆筒,男,2024-11-13 01:40:13,0,,山西,190,回复 @深蓝瑟v :奶奶别哭,5,1982817560,246666778753
雾非雾521,保密,2024-11-13 01:45:25,0,,山西,190,这这这，，，多少有点炸裂了。李子柒不至于那么那岁数吧？[笑哭],5,2117086376,246667049521
等你在冬天,保密,2024-11-13 02:20:03,0,,湖北,190,奶奶这不就来了……,4,266927443,246982728736
城北徐公是我啊,保密,2024-11-13 02:27:52,0,,四川,190,我竟然哭了，我奶奶去世前最喜欢看李子柒,5,384250977,246669191905
晚风美学,男,2024-11-13 02:31:42,1,,天津,190,somewhere in time [蹲蹲],6,362946724,246983334448
楚湘云云,保密,2024-11-13 02:34:29,0,,江苏,190,回复 @耶比耶比啦啦啦 :我也是,4,1868087703,246983634512
院子里的风,女,2024-11-13 02:41:55,1,,天津,190,泪目了，奶奶生前最爱看李子柒了[大哭][大哭][大哭][大哭][大哭],4,516281379,246669983633
木与皆,保密,2024-11-13 02:51:04,0,,河北,190,回复 @耶比耶比啦啦啦 :我懂,4,498211990,246670547041
波光_,保密,2024-11-13 02:52:02,1,,江西,190,回复 @米琪有点霉 :我昨天在微博看了紫气东来，今天才被b站推送这个新视频，惊喜又幸福🥰,6,94391177,246670627617
北纬仨世渡,男,2024-11-13 03:04:55,0,,河南,190,回来得正是时候，网络戾气太重了。,5,416487266,246671486753
cant_z,保密,2024-11-13 03:22:25,0,,广东,190,你两岁就会看b站了[doge],6,2199741,246986689216
minima08,保密,2024-11-13 04:06:49,0,,浙江,190,[呲牙][呲牙][呲牙],4,40566407,246675718817
辰光不负,男,2024-11-13 04:09:00,0,,上海,190,是的，好孙儿，我在看呢,3,25943077,246675931745
英特雄耐纳尔,保密,2024-11-13 04:12:04,0,,广东,190,追她时候我还没结婚，现在小孩都七岁了,5,351123922,246990366656
裘桃报李,保密,2024-11-13 04:16:52,1,,重庆,190,我是爷爷，不是奶奶,5,404913001,246990820208
神龙大骑士,保密,2024-11-13 04:31:05,0,,重庆,190,好孙子,6,27506867,246677707089
可乐大神1984,保密,2024-11-13 04:57:04,0,,安徽,190,孙子真怪。。我看到了[胆大党_微笑]咳咳咳,5,45258040,246994183872
到底需要什么样的,保密,2024-11-13 04:59:05,0,,安徽,190,"回复 @耶比耶比啦啦啦 : 李子柒  ,,你这mo‘李子柒 你这么会  怎么不啥都是你’",3,1978815214,246994391616
懿宣,保密,2024-11-13 05:32:25,0,,湖北,190,好的，我的乖孙[doge],5,1722924910,246996825696
Mrmansk,保密,2024-11-13 06:06:34,0,,浙江,190,先三连后看,3,1138080901,246998909472
螺蛳粉黑转粉,女,2024-11-13 06:33:38,0,,河北,190,看哭了,5,32308677,246685804049
臱卅卅,保密,2024-11-13 07:14:28,0,,重庆,190,兄弟姐妹们，抱抱[拥抱][拥抱][拥抱][拥抱][拥抱][拥抱]！！！！,4,476415311,247002994592
麻辣小鱼干质检员,保密,2024-11-13 08:15:00,0,,福建,190,爷爷👴🏻也爱看[捂眼],5,34489227,247006686768
坏坏de嗳,保密,2024-11-13 08:59:03,0,,上海,190,回复 @耶比耶比啦啦啦 : 你有点夸张哟。b站上除了李，还有好多好内容,5,152541306,247009696928
拎西瓜,保密,2024-11-13 10:02:03,0,,福建,190,咱奶回来了,3,476056194,246698954513
小寶er,保密,2024-11-13 10:06:41,0,,黑龙江,190,回复 @涟漪微凉 :回来了，全都回来了[大哭],5,388271712,247014927808
韩立韩二愣子,保密,2024-11-13 10:07:13,1,,北京,190,这才叫美，我虽然代表不了中国广大男同胞，但是她就是我心目中理想的中国女人的形象，而不是越南的那种东施效颦的大馒头让人呕吐的女人。更不是杨笠之流的女拳，还有那让人恶心的小仙女和整天搔首弄姿的倒灶视频。,5,35248314,247014971936
武宗正德皇帝,保密,2024-11-13 10:25:39,0,,浙江,190,回复 @涟漪微凉 :是啊，懂王回来了，李子柒也回来了，都在十一月份回来了,6,13959079,246700953201
雲忘程,保密,2024-11-13 10:59:43,0,,河南,190,小时候看的的前两个网红就是李子柒还有敬汉卿[doge],4,3493126880627611,247019546944
-小范今天学习了吗-,女,2024-11-13 11:00:50,0,,安徽,190,回复 @耶比耶比啦啦啦 :我以前下载wb也是为了姐姐，后来姐姐没更新了我也没打开过微博了[大哭][大哭][大哭],3,477857950,246704083617
吮趾原味姬_,男,2024-11-13 11:43:15,0,,广东,190,我奶奶最爱看的真就李子柒。一晃三年过去，李子柒更新了，我奶奶也去世了。,6,18249443,247023248432
他们都叫我肥仔,男,2024-11-13 11:46:06,0,,四川,190,晓得了,6,24628194,246707716993
captain_rabbiit,保密,2024-11-13 12:26:55,0,,北京,190,[大哭][大哭][大哭],5,1842991661,247027069760
想睡觉的绫公子,男,2024-11-13 12:33:06,0,,安徽,190,回复 @涟漪微凉 :对吧，我就说这是2020年,6,12093755,246711473441
超超级bilibili,保密,2024-11-13 12:35:28,0,,安徽,190,哎，我高兴阿，孙女[鼓掌],3,11588712,247027725408
闲鱼式生活,保密,2024-11-13 12:59:56,0,,安徽,190,这下真奶奶了,6,21471963,246713766209
别和鲨鱼接吻,女,2024-11-13 13:41:23,1,,湖南,190,谢谢孙女[给心心],6,12067473,246717001521
ATOM629,保密,2024-11-13 14:21:04,0,,广西,190,懂王回来了，华农的竹鼠也回来了，一切都梦回大唐,6,219365522,247036962400
嘟嘟要努力工作鸭,保密,2024-11-13 14:22:44,0,,山东,190,胖球球，我也来喽，想不想做我对象[嘟嘟][嘟嘟][嘟嘟],5,1125673809,247037019200
蓝色的蓝色丶,保密,2024-11-13 14:31:00,0,,浙江,190,突然有种感动,5,363913242,247037785040
醉双飞,保密,2024-11-13 14:46:43,0,,广东,190,[蛆音娘_大笑][蛆音娘_大笑][蛆音娘_大笑][蛆音娘_大笑][蛆音娘_大笑][蛆音娘_大笑],5,32006534,247039171664
噫人噫语,保密,2024-11-13 15:10:00,0,,四川,190,少林足球,5,252089262,246724627793
指甲盖塞牙签,保密,2024-11-13 16:24:13,0,,浙江,190,回复 @涟漪微凉 :对，川普也回来了，华农也养竹鼠了[滑稽],6,8994142,247047170656
单车树位沙发,男,2024-11-14 00:25:53,0,,云南,190,谢谢我的好大孙提醒奶奶,6,125377420,247060019488
牛奶咖啡639629,保密,2024-11-14 00:45:56,0,,浙江,190,回复 @烊烊深度睡眠中 :案情,6,18208055,246743646049
丝汀汀,女,2024-11-14 01:00:33,0,,湖北,190,话说我奶奶是真的喜欢她的视频，还问过怎么不出新的了,5,391240589,246744355281
柠啊柠宝贝,保密,2024-11-14 04:30:28,0,,广东,190,好感动,4,453835124,247075525296
唯一wei1,男,2024-11-14 05:49:33,0,,广西,190,阴阳怪气,3,3537110871050491,246763408433
如安-,保密,2024-11-14 06:29:16,1,,江西,190,第一次见到握笔正确的up主哈哈哈哈哈哈哈,3,487888893,246765858433
RAIN_98765,保密,2024-11-14 08:55:20,0,,河南,190,看出来没更新的日子奶奶度日如年啦[脱单doge],4,3546387962661410,247093217792
流浪的海鸥,女,2024-11-14 09:37:46,0,,河北,190,回复 @米琪有点霉 :+1！！！,5,28262474,246777528209
柏林城上的星空,保密,2024-11-14 10:00:55,0,,四川,190,好孙女，奶奶看见啦,5,647286387,246779298913
三刀流阿通,男,2024-11-14 10:30:13,1,,江西,190,你奶奶可真年轻哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑鼠我辣[doge_金箍],5,1797248135,247100627104
杀殿彦彦子保我上厦大,保密,2024-11-14 11:45:15,1,,广东,190,俺老奶奶來也,4,1242350177,246787776817
燕山府小痞子,男,2024-11-14 13:37:18,1,,北京,190,爷青回[委屈][委屈][委屈],6,13365937,247116221552
是与鲤,保密,2024-11-14 14:39:27,0,,江苏,190,阿巴阿巴阿巴阿巴忒bamawobozw07B,4,560863400,247121698128
是与鲤,保密,2024-11-14 14:39:27,0,,江苏,190,阿巴阿巴阿巴阿巴忒bamawobozw07B,4,560863400,247121621568
A寅辰,保密,2024-11-14 16:54:21,0,,广西,190,追到天荒地老[打call][打call][打call],3,1057606750,246812023889
-年少是仍来归-,保密,2024-11-15 02:51:20,0,,湖南,190,我去！你是给人当丫鬟的吗？[doge],3,608124211,247152076800
病梅自珍,保密,2024-11-15 03:52:56,0,,江苏,190,忙，忙点好啊,4,1513605417,247156519136
记得你的小心心,女,2024-11-15 04:33:38,0,,河北,190,营l 销过头还能一直火不是没理由，长相太重要了[微笑]l,4,98796963,246838398769
突然惊醒1,保密,2024-11-15 06:37:29,0,,湖南,190,真爱粉啊，百分之90点赞的都投了币，我只头给她。,3,1505149606,247169028048
Aney_Duck_,男,2024-11-15 11:14:19,0,,江苏,190,[大哭][大哭][大哭],5,1615155889,246867024017
五行葫芦,保密,2024-11-15 15:56:48,1,,湖北,190,哇！看看我发现了谁？今天一打开B站就发现子柒回归，你可是我关注的第一位博主呢！[打call],4,282125355,246890046833
也无风雨也无晴ywfyywq,保密,2024-11-16 11:49:30,1,,安徽,190,我是真给我奶奶看 她就喜欢这个up主,5,52418445,247281521248
ksnlcqksych,保密,2024-11-16 15:31:23,1,,山东,190,平时都是玩梗但是这次真的是真的[保卫萝卜_哭哭],2,3546778395740198,246974540065
栀爱你z,保密,2024-11-16 17:03:01,0,,广东,190,来了,4,3461564860467649,247309050352
穆兮a,女,2024-11-17 12:51:34,0,,上海,190,这个是真的，太久没更新了,5,1007296773,247048152401
麦子麦麦火柴,保密,2024-11-17 20:31:08,0,,广东,190,爷青回[大哭],3,1919865744,247404671392
爱己内求,保密,2024-11-19 08:27:07,0,,安徽,190,[笑哭]不是，你奶奶年轻的时候，这UP主才多大,3,3493294852016689,247186229009
京九线上的DF11G,男,2024-11-19 14:16:26,0,,山东,190,过年啦,3,1569210590,247213138721
花十五夜,保密,2024-11-20 11:46:30,0,,吉林,190,我姥姥去世了，她生前我特别喜欢给她看你，她也喜欢看，可惜她去年去世了没等到你更新，没看玩笑也没搞梗，是真的她走的时候有九十多岁了,5,1467136252,247282446929
超自律的彬王,男,2024-11-24 13:24:30,0,,浙江,190,终于回来了，想死你了你了李姐姐[大哭][大哭][大哭],4,646166804,247977430384
侑佐,保密,2024-11-29 16:22:43,0,,广西,190,她只在小破站更新吗,5,273204288,248032755041
くろさ,男,2024-11-30 16:57:50,0,,广东,190,[大哭][大哭],4,1793861156,248123387345
蚂蚁搬砖人,保密,2024-12-02 19:40:48,0,,江西,190,又开始，每次上小破站，就要来子柒这里看一看，看更新了没，享片刻安静且美好！,5,516694376,248294526753
看见你爱上了,保密,2024-12-09 03:18:45,0,,甘肃,190,卡你你胸样,5,362026789,248794853441
退藏于密与民同患,保密,2024-12-15 04:22:32,0,,黑龙江,190,"韃畜就是冷兵器时代的产物，遇到列强就是割地赔款等死，印第安人就是韃畜的亲戚，大家都看得到，是被降维打击的料。汉人则比白皮更科学更追求学术，感谢伏羲女娲孔子等等的传承！未来有能力降维打击野蛮人的只有华夏汉人！,七个和蛋我信。科学证明“过去=现在=未来”，过去=未来，现在=未来，所以我们现在看到的盆地和七个和蛋就是未来七个热和下蛋的蛋坑！,伪汉化川彝反骨仔潜伏崽新土司毒瘤癌细胞在远古时代就经历过核战争，数以万亿吨当量的热核在盆地倾泄开花，俗称“地狱之花”！又名“彼岸花”！至今四川盆地善在，巨坑尚存！！举世瞩目，为镇暴辟邪的终局见证者！！哈哈。。。。。,,t",2,3546793704949979,249298148081
是你宇子哥呀,保密,2024-11-12 09:00:59,17615,还有啊！！！有存货！[星星眼],重庆,72,,6,403754534,246927871600
暮木冬,男,2024-11-12 09:53:11,4202,,山东,72,何止是有存货，这两年不会闲着只处理纠纷的[doge][doge][doge]几十个视频备好了都,6,194419361,246620011841
秦月历险记,保密,2024-11-12 09:59:55,1125,,江苏,72,还在剪！！！,4,1607309307,246932160672
若云僧伽吒,保密,2024-11-12 10:01:16,1408,,福建,72,回复 @秦月历险记 :她微博说了还在剪,5,474325600,246932342976
天街小雨满皇都,保密,2024-11-12 10:22:17,533,,上海,72,回复 @暮木冬 :哇，那太好了，好久不用微博了。,6,21959288,246622143457
6个硬币的名字有点多,男,2024-11-12 10:25:46,792,,广东,72,[doge]也就亿点点存货   吃不完根本不够吃,6,26705514,246934265136
谁人扔的炮仗,男,2024-11-12 10:30:53,741,,山东,72,看来是用了3年时间来解决问题，希望解决了,5,360657330,246934613792
bili_77966047636,保密,2024-11-12 10:33:34,86,,河南,72,回复 @暮木冬 :啊太开心了听你这么说,3,1588238880,246623072049
冰菓喏,女,2024-11-12 10:50:47,242,,福建,72,回复 @暮木冬 :美好的东西不能狼吞虎咽，需要慢慢品[打call][打call][打call]，回来就好，咱不急[打call][打call],6,65759816,246936294528
青山戴雨笠,保密,2024-11-12 11:17:07,82,,山东,72,存货肯定很多,6,316383179,246626605905
我绝对不当老司机,男,2024-11-12 11:22:31,111,,广东,72,上个视频时间是2023年大寒,6,252725667,246626994337
淮南秋雨入我梦,男,2024-11-12 11:30:47,64,,上海,72,回复 @我绝对不当老司机 : 2023年小暑开始，大寒是2024年1月了。,5,33180301,246939779040
